"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Azuay - Sigsig - Ludo";2;2;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Azuay - Ona - San Felipe de Ona Cabecera Cantonal";1;26;1;0;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Ona - Susudel";3;40;0,33;0,67;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Chordeleg - Chordeleg";2;32;1;0;0;0;0,5;"Operativos Regulares frecuentes"
"Azuay - El Pan - El Pan Cabecera Cantonal";1;69;1;0;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Guachapala - Guachapala Cabecera Cantonal";1;45;1;0;0;0;1;"Operativos Regulares frecuentes"
"Azuay - Camilo Ponce Enriquez - Camilo Ponce Enriquez";11;30,82;0,91;0,09;0,36;0,27;0,36;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Angel Polibio Chavez";3;34,33;0,67;0,33;0,67;0,33;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Gabriel Ignacio Veintimilla";10;47,9;0,8;0,2;0,4;0,4;0,2;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Guanujo";17;35,24;0,76;0,24;0,35;0;0,65;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Guaranda";5;30,2;0,4;0,6;0,2;0,6;0,2;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Facundo Vela";1;50;1;0;0;0;1;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Guanujo";10;29,5;0,7;0,3;0;1;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Julio E. Moreno (Catanahuan Grande)";1;50;1;0;0;1;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Salinas";4;58,25;0,75;0,25;0,75;0,25;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Santafe (Santa Fe)";2;38;0,5;0,5;0;1;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Simiatug";2;57,5;0;1;1;0;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - San Luis De Pambil";1;92;1;0;0;1;0;"Operativos Regulares frecuentes"
"Bolivar - Chillanes - Chillanes";11;38,55;0,55;0,45;0,45;0,27;0,27;"Operativos Regulares frecuentes"
"Bolivar - Chillanes - San Jose del Tambo(Tambopamba) ";2;60;1;0;1;0;0;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - San Jose De Chimbo";3;36,67;1;0;0;0,67;0,33;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - La Magdalena(Chapacoto)";2;14;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - San Sebastian";1;16;1;0;0;0;1;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - Telimbela";1;13;1;0;0;0;1;"Operativos Regulares frecuentes"
"Bolivar - Echeandia - Echeandia";17;39,76;0,76;0,24;0,24;0,35;0,41;"Operativos Regulares frecuentes"
"Bolivar - San Miguel - San Miguel";7;39,29;0,57;0,43;0;0,57;0,43;"Operativos Regulares frecuentes"
"Bolivar - San Miguel - Balsapamba";9;45,22;0,56;0,44;0,56;0,22;0,22;"Operativos Regulares frecuentes"
"Bolivar - San Miguel - Bilovan";1;15;1;0;1;0;0;"Operativos Regulares frecuentes"
"Bolivar - Caluma - Caluma";7;25,71;1;0;0,29;0,29;0,43;"Operativos Regulares frecuentes"
"Bolivar - Las Naves - Las Mercedes";2;29,5;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Bolivar - Las Naves - Las Naves";5;28,6;1;0;0,2;0,4;0,4;"Operativos Regulares frecuentes"
"Canar - Azogues - Aurelio Bayas Martinez";1;20;1;0;0;1;0;"Operativos Regulares frecuentes"
"Canar - Azogues - Azogues";8;36,12;0,62;0,38;0,75;0;0,25;"Operativos Regulares frecuentes"
"Canar - Azogues - Borrero";3;58,67;1;0;0,67;0,33;0;"Operativos Regulares frecuentes"
"Canar - Azogues - Azogues";19;47,21;0,63;0,37;0,37;0,32;0,32;"Operativos Regulares frecuentes"
"Canar - Azogues - Cojitambo";3;30;0,33;0,67;0;0,67;0,33;"Operativos Regulares frecuentes"
"Canar - Azogues - Guapan";2;75;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Azogues - Javier Loyola (Chuquipata)";9;22,89;0,78;0,22;0,33;0,44;0,22;"Operativos Regulares frecuentes"
"Canar - Azogues - Luis Cordero";1;17;1;0;0;1;0;"Operativos Regulares frecuentes"
"Canar - Biblian - Biblian";15;43,8;0,8;0,2;0,2;0,53;0,27;"Operativos Regulares frecuentes"
"Canar - Biblian - Nazon (Cab. En Pampa De Dominguez)";2;28,5;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Canar - Biblian - San Francisco de Sageo";2;15;0,5;0,5;0;0;1;"Operativos Regulares frecuentes"
"Canar - Canar - Canar";15;45,27;0,53;0,47;0,67;0,13;0,13;"Operativos Regulares frecuentes"
"Canar - Canar - Chorocopte";1;49;1;0;0;0;1;"Operativos Regulares frecuentes"
"Canar - Canar - Honorato Vasquez (Tambo Viejo)";7;29,71;0,14;0,86;0;0,86;0,14;"Operativos Regulares frecuentes"
"Canar - Canar - Ingapirca";6;43,33;0,67;0,33;0,33;0,5;0,17;"Operativos Regulares frecuentes"
"Canar - Canar - Juncal";6;31,67;0,83;0,17;0,17;0;0,83;"Operativos Regulares frecuentes"
"Canar - Canar - San Antonio";2;41;1;0;0;1;0;"Operativos Regulares frecuentes"
"Canar - Canar - Zhud";3;61,33;0,67;0,33;0,67;0,33;0;"Operativos Regulares frecuentes"
"Canar - Canar - Ventura";1;4;1;0;0;1;0;"Operativos Regulares frecuentes"
