prov_fall;cant_fall;parr_fall;codigo
Bolivar;Guaranda;Facundo Vela;20151
Bolivar;Guaranda;Simiatug;20159
Bolivar;Chillanes;San Jose del Tambo(Tambopamba) ;20251
Bolivar;Chimbo;La Magdalena(Chapacoto);20353
Bolivar;Chimbo;San Sebastian;20354
Bolivar;Chimbo;Telimbela;20355
Bolivar;San Miguel;Bilovan;20552
Canar;Azogues;Azogues;30102
Canar;Azogues;Guapan;30153
Canar;Biblian;San Francisco de Sageo;30252
Canar;Canar;Chorocopte;30352
Canar;Canar;Juncal;30357
Canar;Canar;Ducur;30363
Canar;El Deleg;Solano;30651
Canar;Tulcan;Tulcan;40102
Canar;Tulcan;Maldonado;40154
Canar;Tulcan;Tufino;40157
Canar;Tulcan;El Chical;40159
Carchi;Bolivar;Garcia Moreno;40251
Carchi;Espejo;La Libertad(Alizo);40352
Carchi;Mira;Jijon y Caamano(Cab. En Rio Blanco);40452
Carchi;Mira;Juan Montalvo(San Ignacio de Quil);40453
Carchi;Montufar;Gonzalez Suarez;40501
Carchi;Montufar;Cristobal Colon;40551
Carchi;San Pedro de Huaca;Mariscal Sucre;40651
Cotopaxi;Latacunga;Latacunga Cabecera Cantonal;50150
Cotopaxi;Latacunga;Belisario Quevedo(Guanailin);50152
Cotopaxi;La Mana;El Carmen;50201
Cotopaxi;La Mana;La Mana;50202
Cotopaxi;La Mana;El Triunfo;50203
Cotopaxi;Pangua;El Corazon Cabecera Cantonal;50350
Cotopaxi;Pangua;Moraspungo;50351
Cotopaxi;Pangua;Ramon Campana;50353
Cotopaxi;Pujili;Angamarca;50451
Cotopaxi;Pujili;Guancaje;50453
Cotopaxi;Pujili;Tingo;50457
Cotopaxi;Salcedo;Pansaleo;50555
Cotopaxi;Saquisili;Cochapamba;50653
Cotopaxi;Sigchos;Isinlivi;50752
Chimborazo;Riobamba;Yaruquies;60105
Chimborazo;Riobamba;Cubijies;60153
Chimborazo;Alausi;Huigra;60254
Chimborazo;Alausi;Multitud;60255
Chimborazo;Alausi;Pistishi(Nariz del Diablo);60256
Chimborazo;Colta;Cajabamba;60301
Chimborazo;Colta;Sicalpa;60302
Chimborazo;Colta;Villa la Union(Cajabamba) Cabecera Cantonal;60350
Chimborazo;Colta;Juan de Velasco(Pangor);60353
Chimborazo;Colta;Santiago de Quito(Cab. En San Antonio de Quito);60354
Chimborazo;Chunchi;Chunchi Cabecera Cantonal;60550
Chimborazo;Chunchi;Capzol;60551
Chimborazo;Chunchi;Compud;60552
Chimborazo;Chunchi;Gonzol;60553
Chimborazo;Chunchi;Llagos;60554
Chimborazo;Guamote;Palmira;60652
Chimborazo;Guano;La Matriz;60702
Chimborazo;Guano;Ilapo;60752
Chimborazo;Guano;La Providencia;60753
Chimborazo;Guano;San Gerardo de Pacaicaguan;60755
Chimborazo;Penipe;San Antonio de Bayushig;60954
Chimborazo;Penipe;La Candelaria;60955
El Oro;Machala;Puerto Bolivar;70103
El Oro;Machala;El cambio;70105
El Oro;Machala;Machala Cabezera Cantonal y Provincial;70150
El Oro;Arenillas;Chacras;70251
El Oro;Chilla;Chilla Cabezera Cantonal;70550
El Oro;El Guabo;La Ibera;70652
El Oro;Huaquillas;Union Lojana;70705
El Oro;Pasaje;Ochoa Leon (Matriz);70903
El Oro;Pasaje;Tres Cerritos;70904
El Oro;Pasaje;La Peana;70953
El Oro;Pinas;La Matriz;71001
El Oro;Santa Rosa;Santa Rosa;71201
El Oro;Santa Rosa;Jumon (Satelite);71204
El Oro;Santa Rosa;La avanzada;71253
El Oro;Santa Rosa;Victoria;71256
El Oro;Santa Rosa;Bellamaria;71257
El Oro;Zaruma;Guanazan;71353
El Oro;Las Lajas;La Victoria Cabezera Cantonal;71450
Esmeraldas;Esmeraldas;Bartolome Ruiz (Cesar Franco Carrion);80101
Esmeraldas;Esmeraldas;Esmeralda;80103
Esmeraldas;Eloy Alfaro;Borbon;80253
Esmeraldas;Eloy Alfaro;La Tola;80254
Esmeraldas;Eloy Alfaro;Luis Vargas Torres (Cab. En Playas de Oro);80255
Esmeraldas;Muisme;Muisme Cabecera Cantonal;80350
Esmeraldas;Muisme;Bolivar;80351
Esmeraldas;Muisme;San Francisco;80356
Esmeraldas;Muisme;San Gregorio;80357
Esmeraldas;Quininde;Cube;80451
Esmeraldas;San Lorenzo;Calderon;80553
Esmeraldas;San Lorenzo;Carondelet;80554
Esmeraldas;San Lorenzo;Tambillo;80561
Esmeraldas;Atacames;La Union;80651
Esmeraldas;Atacames;Sua (Cab. En la Bocana);80652
Esmeraldas;Rioverde;Lagarto;80753
Guayas;Guayaquil;Garcia Moreno;90105
Guayas;Guayaquil;Rocafuerte;90110
Guayas;Guayaquil;Urdaneta;90113
Guayas;Guayaquil;Pascuales;90115
Guayas;Guayaquil;Puna;90157
Guayas;Guayaquil;Tenguel;90158
Guayas;Daule;Magro;90605
Guayas;Daule;Padre Juan Bautista Aguirre;90606
Guayas;Daule;Daule Cabecera Cantonal;90650
Guayas;Daule;Laurel;90653
Guayas;Duran;Eloy Alfaro(Duran) Cabecera Cantonal;90750
Guayas;Milagro;Mariscal Sucre (Huaques);91053
Guayas;Milagro;Roberto Astudillo (Cab. En Sucre de Venecia);91054
Guayas;Pedro Carbo;Valle de la Virgen;91451
Guayas;Samborondon;Samborondon;91601
Guayas;Samborondon;Samborondon Cabecera Cantonal;91650
Guayas;Salitre;Junquillal;91953
Guayas;San Jacinto de Yaguachi;Yaguachi  Viejo (Cone);92055
Guayas;Simon Bolivar;Coronel Lorenzo de Garaicoa (Pedregal);92251
Imbabura;Ibarra;Guayaquil de Alpachaca;100102
Imbabura;Antonio Ante;Andrade Marin (Lourdes);100201
Imbabura;Antonio Ante;Atuntaqui;100202
Imbabura;Antonio Ante;Imbaya (San Luis de Cobuendo);100251
Imbabura;Antonio Ante;San Jose de Chaltura;100253
Imbabura;Cotacachi;San Francisco;100302
Imbabura;Cotacachi;Cotacachi Cabecera Cantonal;100350
Imbabura;Cotacachi;Apuela;100351
Imbabura;Cotacachi;Imantag;100353
Imbabura;Cotacachi;Penaherrera;100354
Imbabura;Cotacachi;Quiroga;100356
Imbabura;Otavalo;Selva Alegre(Cab. En San Miguel de Pamplona);100459
Loja;Loja;Carigan;110105
Loja;Loja;Loja Cabecera Cantonal y Capital Provincial;110150
Loja;Loja;Gualel;110154
Loja;Loja;San Lucas;110157
Loja;Loja;Taquil (Miguel Riofrio);110160
Loja;Calvas;Cariamanga;110201
Loja;Calvas;Chile;110202
Loja;Calvas;Cariamanga Cabecera Cantonal;110250
Loja;Calvas;Colaisaca;110251
Loja;Catamayo;San Jose;110302
Loja;Catamayo;El Tambo;110351
Loja;Catamayo;San Pedro de la Bendita;110353
Loja;Chaguarpamba;Chaguarpamba;110550
Loja;Espindola;Jimbura;110652
Loja;Espindola;Santa Teresita;110653
Loja;Paltas;Lourdes;110902
Loja;Paltas;Catacocha;110950
Loja;Paltas;Orianga;110956
Loja;Puyango;El Arenal;111052
Loja;Puyango;Vicentino;111055
Loja;Saraguro;Urdaneta (Paquishapa);111159
Los Rios;Babahoyo;Barreiro;120103
Los Rios;Babahoyo;El Salto;120104
Los Rios;Baba;Guare;120251
Los Rios;Quevedo;Quevedo;120501
Los Rios;Quevedo;Guayacan;120504
Los Rios;Quevedo;San Cristobal;120506
Los Rios;Ventanas;Ventanas;120750
Los Rios;Vinces;Balzar de Vinces;120801
Los Rios;Vinces;Vinces Central;120802
Los Rios;Buena Fe;San Jacinto de Buena Fe;121050
Manabi;Portoviejo;Portoviejo;130101
Manabi;Portoviejo;Alhajuela (Bajo grande);130152
Manabi;Portoviejo;Riochico (Rio Chico);130155
Manabi;Bolivar;Membrillo;130251
Manabi;Bolivar;Quiroga;130252
Manabi;Chone;Chone;130350
Manabi;Chone;Chibunga;130354
Manabi;Chone;Eloy Alfaro;130355
Manabi;El Carmen;El carmen;130450
Manabi;El Carmen;San Pedro de Suma;130452
Manabi;Jipijapa;Miguel Inocencio Parrales y Guale;130602
Manabi;Jipijapa;Pedro Pablo Gomez;130657
Manabi;Jipijapa;Puerto de Cayo;130658
Manabi;Manta;Manta;130802
Manabi;Manta;Santa Marianita (Boca de Pacoche);130852
Manabi;Montecristi;Montecristi;130902
Manabi;Pajan;Guale;131053
Manabi;Santa Ana;Honorato Vasquez (Cab. En Vasquez);131352
Manabi;Sucre;Bahia de Caraquez;131450
Manabi;Pedernales;10 de Agosto;131752
Manabi;Puerto Lopez;Puerto Lopez;131950
Manabi;Jaramijo;Jaramijo;132150
Manabi;San Vicente;Canoa;132251
Morona Santiago;Gualaquiza;Gualaquiza;140201
Morona Santiago;Gualaquiza;Mercedes Molina;140202
Morona Santiago;Gualaquiza;Gulaquiza;140250
Morona Santiago;Gualaquiza;El Rosario;140255
Morona Santiago;Gualaquiza;El Ideal;140258
Morona Santiago;Limon Indaza;San Antonio (Cab. en San Antonio Centro);140353
Morona Santiago;Limon Indaza;Yunganza (Cab. en el Rosario);140358
Morona Santiago;Palora;Sangay (Cab. en Nayamanaca);140454
Morona Santiago;Santiago;Santiago de Mendez;140550
Morona Santiago;Santiago;Patuca;140553
Morona Santiago;Huamboya;Huamboya;140750
Morona Santiago;San Juan Bosco;San Juan Bosco;140850
Morona Santiago;Taisha;Taisha;140950
Morona Santiago;Taisha;Tuutinentza;140953
Morona Santiago;Logrono;Logrono;141050
Morona Santiago;Logrono;Yaupi;141051
Morona Santiago;Tiwintza;San Jose de Morona;141251
Napo;Archidona;Hatun Sumaku;150356
Napo;El Chaco;Gonzalo Diaz de Pineda (El Bombon);150451
Pastaza;Pastaza;Veracruz (Cab. en Indillama);160165
Pastaza;Mera;Madre Tierra;160251
Pastaza;Santa Clara;San Jose;160351
Pichincha;Quito;Jipijapa;170114
Pichincha;Quito;La Libertad;170120
Pichincha;Quito;Lloa;170166
Pichincha;Quito;Nono;170171
Pichincha;Quito;Pacto;170172
Pichincha;Quito;Puellaro;170178
Pichincha;Quito;San Jose de Minas;170181
Pichincha;Quito;Tababala;170183
Pichincha;Quito;Zambiza;170186
Pichincha;Cayambe;Cayambe;170202
Pichincha;Cayambe;Oton;170254
Pichincha;Cayambe;Santa Rosa de Cuzubamba;170255
Pichincha;Pedro Moncayo;Malchingui;170452
Pichincha;Pedro Moncayo;Topachi;170453
Pichincha;Ruminahui;Sangolqui;170550
Pichincha;Ruminahui;Rumipamba;170552
Tungurahua;Ambato;La Peninsula;180106
Tungurahua;Ambato;Pishilata;180108
Tungurahua;Ambato;Ambatillo;180151
Tungurahua;Ambato;Augusto N. Martinez (Mundugleo);180153
Tungurahua;Ambato;Constantino Fernandez (Cab. En Cullitahua);180154
Tungurahua;Ambato;Montalvo;180158
Tungurahua;Ambato;San Bartolome de Pinllog;180163
Tungurahua;Patate;Los Andes (Cab. En Poatug);180552
Tungurahua;Patate;Sucre (Cab. En Sucre-Patate Urcu);180553
Tungurahua;Quero;Quero;180650
Tungurahua;San Pedro de Pelileo;Pelileo;180750
Tungurahua;San Pedro de Pelileo;Benitez (Pachanlica);180751
Tungurahua;San Pedro de Pelileo;Bolivar;180752
Tungurahua;Santiago de Pillaro;Pillaro;180850
Tungurahua;Santiago de Pillaro;Emilio Maria Teran (Rumipamba);180852
Tungurahua;Santiago de Pillaro;San Andres;180855
Tungurahua;Tisaleo;Quinchicoto;180951
Zamora Chinchipe;Zamora;Zamora;190150
Zamora Chinchipe;Zamora;Cumbaratza;190151
Zamora Chinchipe;Zamora;Guadalupe;190152
Zamora Chinchipe;Zamora;Sabanilla;190155
Zamora Chinchipe;Chinchipe;Zumba;190250
Zamora Chinchipe;Chinchipe;Chito;190251
Zamora Chinchipe;Chinchipe;El Chorro;190252
Zamora Chinchipe;Chinchipe;San Andres ;190259
Zamora Chinchipe;Nangaritza;Guayzimi;190350
Zamora Chinchipe;Nangaritza;Nuevo Paraiso;190352
Zamora Chinchipe;El Pangui;El Pangui;190650
Zamora Chinchipe;Centinela del Condor;Zumbi;190750
Sucumbios;Lago Agrio;Pacayacu;210156
Sucumbios;Lago Agrio;Jambeli;210157
Sucumbios;Gonzalo Pizarro;Lumbaqui;210250
Sucumbios;Gonzalo Pizarro;El Reventador;210251
Sucumbios;Gonzalo Pizarro;Puerto Libre;210254
Sucumbios;Putumayo;Puerto el Carmen del Putumayo;210350
Sucumbios;Shushufindi;San Roqui (Cab. En San Vicente);210453
Sucumbios;Cascales;El Dorado de Cascales;210650
Sucumbios;Cuyabeno;Aguas Negras;210752
Orellana;Orellana;Dayuma;220151
Orellana;Orellana;Alejandro Labaka;220153
Orellana;Aguarico;Tiputini;220254
Orellana;La Joya de los Sachas;San Sebastian del Coca;220354
Orellana;La Joya de los Sachas;Union Milagrena;220358
Orellana;Loreto;San Vicente de Huaticocha;220455
Santo Domingo de los Tsachilas;Santo Domingo;Santo Domingo de los Colorados;230150
Santo Domingo de los Tsachilas;Santo Domingo;Santa Maria del Toachi;230157
Santo Domingo de los Tsachilas;La Concordia;Las Villegas;230252
Santa Elena;Santa Elena;Santa Elena;240102
Santa Elena;Santa Elena;Atahualpa;240151
Santa Elena;Santa Elena;San Jose de Ancon;240156
Santa Elena;Salinas;Santa Rosa;240304
