"Lugar_del_Accidente";"N_de_Muertos";"PromEdad";"PorcentH";"PorcenM";"Porcent2017";"Porcent2018";"Porcent2019";"Etiqueta"
"Azuay - Santa Isabel - Santa Isabel (Chaguarurco)";16;31;0,81;0,19;0,44;0,25;0,31;"Operativos Regulares frecuentes"
"Azuay - Santa Isabel - Abdon Calderon (La Union)";4;37;1;0;0,25;0,25;0,5;"Operativos Regulares frecuentes"
"Azuay - Santa Isabel - Zhaglli(Shaglli)";1;36;1;0;0;0;1;"Operativos Regulares frecuentes"
"Azuay - Sigsig - Sigsig";3;61;0,67;0,33;0,33;0,33;0,33;"Operativos Regulares frecuentes"
"Azuay - Sigsig - Cuchil(Cutchil)";2;58;0,5;0,5;0,5;0;0,5;"Operativos Regulares frecuentes"
"Azuay - Sigsig - Gima";1;51;1;0;0;0;1;"Operativos Regulares frecuentes"
"Azuay - Sigsig - Ludo";2;2;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Azuay - Ona - San Felipe de Ona Cabecera Cantonal";1;26;1;0;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Ona - Susudel";3;40;0,33;0,67;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Chordeleg - Chordeleg";2;32;1;0;0;0;0,5;"Operativos Regulares frecuentes"
"Azuay - El Pan - El Pan Cabecera Cantonal";1;69;1;0;1;0;0;"Operativos Regulares frecuentes"
"Azuay - Guachapala - Guachapala Cabecera Cantonal";1;45;1;0;0;0;1;"Operativos Regulares frecuentes"
"Azuay - Camilo Ponce Enriquez - Camilo Ponce Enriquez";11;31;0,91;0,09;0,36;0,27;0,36;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Angel Polibio Chavez";3;34;0,67;0,33;0,67;0,33;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Gabriel Ignacio Veintimilla";10;48;0,8;0,2;0,4;0,4;0,2;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Guanujo";17;35;0,76;0,24;0,35;0;0,65;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Guaranda";5;30;0,4;0,6;0,2;0,6;0,2;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Facundo Vela";1;50;1;0;0;0;1;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Guanujo";10;30;0,7;0,3;0;1;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Julio E. Moreno (Catanahuan Grande)";1;50;1;0;0;1;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Salinas";4;58;0,75;0,25;0,75;0,25;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Santafe (Santa Fe)";2;38;0,5;0,5;0;1;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - Simiatug";2;58;0;1;1;0;0;"Operativos Regulares frecuentes"
"Bolivar - Guaranda - San Luis De Pambil";1;92;1;0;0;1;0;"Operativo de Transito Constante"
"Bolivar - Chillanes - Chillanes";11;39;0,55;0,45;0,45;0,27;0,27;"Operativos Regulares frecuentes"
"Bolivar - Chillanes - San Jose del Tambo(Tambopamba) ";2;60;1;0;1;0;0;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - San Jose De Chimbo";3;37;1;0;0;0,67;0,33;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - La Magdalena(Chapacoto)";2;14;1;0;0,5;0;0,5;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - San Sebastian";1;16;1;0;0;0;1;"Operativos Regulares frecuentes"
"Bolivar - Chimbo - Telimbela";1;13;1;0;0;0;1;"Operativos Regulares frecuentes"
"Bolivar - Echeandia - Echeandia";17;40;0,76;0,24;0,24;0,35;0,41;"Operativos Regulares frecuentes"
"Bolivar - San Miguel - San Miguel";7;39;0,57;0,43;0;0,57;0,43;"Operativos Regulares frecuentes"
"Bolivar - San Miguel - Balsapamba";9;45;0,56;0,44;0,56;0,22;0,22;"Operativos Regulares frecuentes"
"Bolivar - San Miguel - Bilovan";1;15;1;0;1;0;0;"Operativos Regulares frecuentes"
"Bolivar - Caluma - Caluma";7;26;1;0;0,29;0,29;0,43;"Operativos Regulares frecuentes"
"Bolivar - Las Naves - Las Mercedes";2;30;1;0;0;0,5;0,5;"Operativos Regulares frecuentes"
"Bolivar - Las Naves - Las Naves";5;29;1;0;0,2;0,4;0,4;"Operativos Regulares frecuentes"
"Canar - Azogues - Aurelio Bayas Martinez";1;20;1;0;0;1;0;"Operativos Regulares frecuentes"
"Canar - Azogues - Azogues";8;36;0,62;0,38;0,75;0;0,25;"Operativos Regulares frecuentes"
